166,&#xE6E5;,&#xE525;,&#xE21F;
167,&#xE6E6;,&#xE526;,&#xE220;
168,&#xE6E7;,&#xE527;,&#xE221;
169,&#xE6E8;,&#xE528;,&#xE222;
170,&#xE6E9;,&#xE529;,&#xE223;
171,&#xE6EA;,&#xE52A;,&#xE224;
172,&#xE70B;,&#xE5AD;,&#xE24D;
173,&#xE6B8;,[ON],[ON]
174,&#xE66C;,&#xE4A6;,&#xE14F;
175,&#xE716;,&#xE5B8;,&#xE00C;
176,&#xE6AE;,&#xEB03;,&#xE301;
177,&#xE719;,&#xE4A1;,&#xE301;
178,&#xE6B1;,&#xE471;,&#xE057;
179,&#xE688;,&#xE588;,&#xE009;
180,&#xE6CE;,&#xEB08;,&#xE104;
181,&#xE65A;,&#xE59B;,[ﾎﾟｹﾍﾞﾙ]
182,&#xE665;,&#xE5DE;,&#xE153;
183,&#xE6AD;,,
184,&#xE685;,&#xE4CF;,&#xE112;
185,&#xE735;,&#xEB79;,[ﾘｻｲｸﾙ]
186,&#xE66F;,&#xE4AC;,&#xE043;
187,&#xE684;,&#xE59F;,&#xE314;
188,&#xE71B;,&#xE514;,&#xE034;
189,&#xE736;,&#xE559;,&#xE24F;
190,&#xE710;,&#xE509;,&#xE31C;
191,&#xE71C;,&#xE47C;,[砂時計]
192,&#xE73E;,&#xEA80;,&#xE157;
193,&#xE6DC;,&#xE518;,&#xE114;
194,&#xE734;,&#xE4F1;,&#xE315;
195,&#xE6E0;,&#xEB84;,&#xE210;
196,&#xE70E;,&#xE5B6;,&#xE006;
197,&#xE699;,&#xEB2B;,&#xE007;
198,&#xE702;,&#xE482;,&#xE021;
199,&#xE703;,&#xEB2F;,!?
200,&#xE704;,&#xEB30;,!!
201,&#xE709;,ー,ー
202,&#xE70A;,&#xEB31;,ー
203,&#xE66D;,&#xE46A;,&#xE14E;
204,&#xE67F;,&#xE47D;,&#xE30E;
205,&#xE6B7;,[SOON],[SOON]
206,&#xE6F7;,&#xE4BC;,&#xE123;
207,&#xE653;,&#xE4BA;,&#xE016;
208,&#xE656;,&#xE4B6;,&#xE018;
209,&#xE655;,&#xE4B7;,&#xE015;
210,&#xE658;,&#xE59A;,&#xE42A;
211,&#xE659;,&#xE4B9;,&#xE132;
212,&#xE657;,&#xEAAC;,&#xE013;
213,&#xE712;,&#xE4B8;,&#xE013;
214,&#xE654;,&#xE599;,&#xE014;
215,&#xE733;,&#xE46B;,&#xE115;
216,&#xE687;,&#xE596;,&#xE009;
217,&#xE67E;,&#xE49E;,&#xE125;
218,&#xE732;,&#xE54E;,&#xE537;
219,&#xE66E;,&#xE4A5;,&#xE428;
220,&#xE68E;,&#xE5A1;,&#xE20E;
221,&#xE690;,&#xE5A3;,&#xE20F;
222,&#xE68D;,&#xEAA5;,&#xE20C;
223,&#xE68F;,&#xE5A2;,&#xE20D;
224,&#xE743;,&#xE4E4;,&#xE304;
225,&#xE68A;,&#xE502;,&#xE12A;
226,&#xE65B;,&#xE4B5;,&#xE01E;
227,&#xE65E;,&#xE4B1;,&#xE01B;
228,&#xE65F;,&#xE4B1;,&#xE42E;
229,&#xE65C;,&#xE5BC;,&#xE434;
230,&#xE660;,&#xE4AF;,&#xE159;
231,&#xE65D;,&#xE4B0;,&#xE435;
232,&#xE71D;,&#xE4AE;,&#xE136;
233,&#xE661;,&#xEA82;,&#xE202;
234,&#xE6A3;,&#xE4B4;,&#xE01C;
235,&#xE662;,&#xE4B3;,&#xE01D;
236,&#xE737;,&#xE481;,&#xE252;
237,&#xE71F;,&#xE57A;,&#xE02D;
238,&#xE73F;,&#xEB7C;,&#xE43E;
239,&#xE63E;,&#xE488;,&#xE04A;
240,&#xE63F;,&#xE48D;,&#xE049;
241,&#xE640;,&#xE48C;,&#xE04B;
242,&#xE645;,&#xEAE8;,&#xE43C;
243,&#xE641;,&#xE485;,&#xE048;
244,&#xE643;,&#xE469;,&#xE443;
245,&#xE642;,&#xE487;,&#xE13D;
246,&#xE644;,&#xE598;,[霧]
247,&#xE69B;,&#xE47F;,&#xE20A;
248,&#xE718;,&#xE587;,[ﾚﾝﾁ]
249,&#xE6A4;,&#xE4C9;,&#xE033;
250,&#xE6D6;,&#xE57D;,&#xE215;
