F659,236
F7CA,172
F7CB,095
F7CC,123
F7CD,130
F7CE,150
F7D1,101
F7E5,156
F7E6,196
F7E7,197
F7E8,175
F7EA,224
F7EC,229
F7ED,111
F7EE,160
F7F0,038
F7F3,077
F7F4,078
F7F5,094
F7F6,086
F7F9,056
F7FA,135
F340,139
F341,014
F345,[VS]
F346,056
F34B,206
F34E,051
F351,182
F352,127
F353,192
F354,128
F355,233
F356,[18禁]
F358,[COOL]
F359,[割]
F35B,129
F35C,112
F35D,068
F35E,[指]
F35F,[営]
F360,↑
F361,↓
F364,[OFF]
F365,140
F367,224
F36A,066
F36B,063
F36C,[祝]
F371,061
F372,020
F374,116
F375,116
F378,222
F379,123
F37A,122
F37B,122
F37C,122
F37D,122
F37E,115
F380,212
F381,○
F382,133
F383,100
F388,107
F389,107
F38A,107
F38B,107
F38C,107
F38D,104
F391,107
F392,107
F393,089
F394,080
F395,093
F396,082
F397,081
F398,153
F399,076
F39A,094
F39B,095
F39C,[熱]
F39D,079
F39E,095
F39F,087
F3A0,161
F3A1,074
F3A2,(＞３＜)
F3A3,(´３｀)
F3A4,[鼻]
F3A5,135
F3A6,(＞人＜)
F3A7,(ﾟ∀ﾟﾉﾉﾞ＜ﾊﾟﾁﾊﾟﾁｯ
F3A8,172
F3A9,004
F3AA,117
F3AB,157
F3AC,172
F3AD,m(_ _)m
F3AE,123
F3B4,127
F3BC,242
F3C3,149
F3C4,249
F3C5,158
F3C7,128
F3C8,239
F3C9,061
F3CD,022
F7D3,134
F7D4,[英大]
F7D5,[英小]
F7D6,[数]
F7D7,[記号]
F7D8,[可]
F7DA,176
F7DC,193
F7DD,003
F7DF,180
F7E0,126
F7E1,127
F7E2,140
F7E3,134
F7E4,185
F3E7,[A]
F3E8,[B]
F3E9,[O]
F3EA,[AB]
F3EB,108
F3EC,197
F3ED,097
F3EE,005
F3EF,004
F3F0,199
F3F1,200
F3F2,202
F3F6,106
F442,065
F446,045
F44B,091
F44C,053
F44D,224
F44F,103
F454,(/_＼)
F455,(・x・)
F456,|(・x・)|
F457,111
F458,122
F459,[ABC]
F45E,104
F460,095
F461,084
F462,084
F463,158
F464,(´З｀)
F465,074
F466,137
F467,075
F468,075
F469,078
F46A,081
F46B,081
F46C,085
F46D,185
F46E,073
F475,136
F476,215
F479,123
F47A,051
F47B,059
F47C,138
F47D,185
F47E,011
F480,010
F481,238
F482,021
F483,055
F484,073
F485,073
F486,136
F487,033
F488,119
F489,195
F48A,(^o^)ノ
F48B,＼(^ｏ^)／
F48C,081
F48D,084
